scorer,,,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat,Neekon Saadat
bodyparts,,,thumb_tip,thumb_tip,thumb_PIJ,thumb_PIJ,thumb_knuckle,thumb_knuckle,index_tip,index_tip,index_DIJ,index_DIJ,index_PIJ,index_PIJ,index_knuckle,index_knuckle,middle_tip,middle_tip,middle_DIJ,middle_DIJ,middle_PIJ,middle_PIJ,middle_knuckle,middle_knuckle,ring_tip,ring_tip,ring_DIJ,ring_DIJ,ring_PIJ,ring_PIJ,ring_knuckle,ring_knuckle,pinky_tip,pinky_tip,pinky_DIJ,pinky_DIJ,pinky_PIJ,pinky_PIJ,pinky_knuckle,pinky_knuckle,wrist,wrist,forearm,forearm,elbow,elbow,upper_arm,upper_arm,shoulder,shoulder,keypoint0,keypoint0,keypoint1,keypoint1,keypoint2,keypoint2,keypoint3,keypoint3,keypoint4,keypoint4,keypoint5,keypoint5,keypoint6,keypoint6,keypoint7,keypoint7
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,Natalya_20200723_ARM_004-2,img00519.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img01438.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img02294.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img02827.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img02935.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img03184.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img04449.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img05517.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img06137.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img06310.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img06436.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img06638.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img06927.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img07201.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img07523.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img07921.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img08136.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img08171.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img08328.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img09658.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img10131.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img10774.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img11882.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img12259.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img12364.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img12812.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img12967.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img13983.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img14593.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
labeled-data,Natalya_20200723_ARM_004-2,img14750.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.5407948293331,361.26701006528003,692.494407848159,352.8179170289505,565.4914823565797,162.77897955724407,562.760177426225,275.923289479019,,,,,,,,
